PERM,BVO,PORO
0.12,0.0543148,0.13627791
0.2,0.0475744,0.12731259
0.2,0.0595821,0.14149366
0.125,0.0626272,0.14485728
0.26,0.0790677,0.16481415
0.3002,0.0753312,0.1625413
0.1405,0.0726949,0.16051009
0.3666,0.0642757,0.15248228
0.3201,0.071342,0.16183451
0.1401,0.0702242,0.1605992
0.2499,0.0665133,0.1579905
0.2002,0.0649239,0.15820202
0.25,0.073431,0.16901869
0.1009,0.0814821,0.17999956
0.2,0.079751,0.18001439
0.2,0.0817558,0.18301017
0.3,0.088434,0.18926463
0.5,0.0920648,0.19206556
0.7,0.0879282,0.18588851
0.5001,0.0889979,0.18495875
0.5,0.0864495,0.18004003
0.2506,0.1029041,0.19381923
0.5,0.1024523,0.19059426
0.1012,0.1134743,0.20044191
0.3,0.1031965,0.19195427
0.3837,0.0936204,0.18441123
0.1601,0.0809904,0.17473101
0.6,0.0716134,0.16646981
0.4499,0.0644814,0.16160423
0.2,0.0583044,0.15600536
0.1,0.0544172,0.15292813
0.3999,0.0483179,0.14565595
0.1,0.0390704,0.13215092
0.26,0.0316482,0.1201657
0.1,0.0354523,0.12347984
0.275,0.0366143,0.12403416
0.2,0.0357598,0.12148701
0.2,0.0404476,0.12759755
0.2,0.0542179,0.14351729
2.718,0.0641642,0.15522844
1.8218,0.0754619,0.16841687
0.2499,0.0664314,0.16094973
0.4001,0.06428,0.15981084
0.125,0.0576377,0.15362015
0.24,0.062609,0.15936696
0.4602,0.0587688,0.15512236
0.5398,0.0601781,0.1564132
0.1669,0.0645311,0.15923601
0.2,0.0718371,0.16203653
0.1,0.0770985,0.15971342
0.3805,0.0783256,0.15068892
0.2767,0.083945,0.15190451
0.15,0.0909944,0.15407024
0.16,0.0964288,0.15226492
0.14,0.0927104,0.14185959
0.2799,0.0723476,0.11691023
0.45,0.0698627,0.10881865
0.25,0.0689801,0.10636593
0.2249,0.0612623,0.09883574
0.14,0.0531406,0.08863153
0.18,0.0337569,0.06375865
0.3,0.0285694,0.05651211
0.4,0.0232738,0.05056089
0.2002,0.0599883,0.0900751
0.35,0.0851613,0.11965265
2.0588,0.1022092,0.13714817
2.3406,0.1125418,0.14803266
2.4195,0.1174233,0.15243496
6.2084,0.1329418,0.16910793
9.2394,0.1406396,0.17670287
10.9994,0.1327261,0.16826543
39.7978,0.1352357,0.16874933
12.4995,0.122733,0.15560973
121.8919,0.1306318,0.16325282
2.8998,0.1188536,0.15199266
4.1005,0.1134514,0.14675632
25.5992,0.1145941,0.14868884
17.8504,0.131661,0.17135472
48.5306,0.1537236,0.1965424
70.1031,0.1577837,0.20469116
45.3104,0.1612281,0.21141979
50.9514,0.1638727,0.21606259
73.6372,0.1783157,0.22980804
40.8986,0.1743489,0.22592763
39.4964,0.1805703,0.23230918
26.4996,0.1779663,0.2297404
32.0001,0.1791374,0.2276538
18.0998,0.1685535,0.21582493
40.9994,0.1494558,0.19733406
28.7835,0.1499998,0.20014782
20.1998,0.1380031,0.18912073
106.4151,0.1535456,0.20580374
40.8686,0.1511389,0.20311834
19.1979,0.1535263,0.2054145
10.701,0.138522,0.18949497
9.5537,0.134095,0.18327273
7.5605,0.1297501,0.17852509
11.8499,0.1407591,0.18721674
20.7492,0.1419778,0.18718381
11.8055,0.1558828,0.19985207
14.4807,0.1607988,0.20239565
22.9986,0.1648692,0.20965826
10.6313,0.1658109,0.2095941
19.5701,0.1754896,0.21988517
60.9979,0.1846839,0.22430473
49.5058,0.1888922,0.2278913
45.2629,0.1807145,0.21810761
57.3969,0.1617972,0.19678891
26.4991,0.1530292,0.18874952
43.2543,0.1618159,0.20213112
109.7968,0.1632609,0.21010266
118.9853,0.1603467,0.21923847
23.5745,0.1432091,0.20541827
70.8221,0.1362806,0.19823646
35.2975,0.1204445,0.18006297
47.0974,0.1121122,0.17213958
